Id,Question,Gen.contains(Man),Comment
1,What was the material used in the A Delightful Evening?,false,Incorrect Query Ontology Representation
2,What was the material used in the A Hunger Fantasy?,null,Incorrect Stanza Parsing
3,What was the material used in the A Moon?,true,Ok
4,What was the material used in the A Night Out with Friends?,null,Incorrect Stanza Parsing
5,What was the material used in the A. Laurason?,true,Ok
6,What was the material used in the AUDIO ANDRE TUXEDO STYLED?,null,Incorrect Stanza Parsing
7,What was the material used in the Accident?,false,Incorrect Query Ontology Representation
8,What was the material used in the Adieu?,true,Ok
9,What was the material used in the African Head Carving?,false,Incorrect Query Ontology Representation
10,What was the material used in the After Titian?,null,Incorrect Stanza Parsing
11,What was the material used in the Afterglow?,true,Ok
12,What was the material used in the Almost There?,null,Incorrect Stanza Parsing
13,What was the material used in the Along the Brandywine?,null,Incorrect Stanza Parsing
14,What was the material used in the America/Abundance?,null,Incorrect Stanza Parsing
15,What was the material used in the Amish Family?,true,Ok
16,What was the material used in the Amor Omnia Vincit?,null,Incorrect Stanza Parsing
17,What was the material used in the Anagama?,true,Ok
18,What was the material used in the Andre Joseph Villard?,true,Ok
19,What was the material used in the Animal Studies?,false,Incorrect Query Ontology Representation
20,What was the material used in the Approaching Night?,false,Incorrect Query Ontology Representation
21,What was the material used in the Araucanian Man?,false,Incorrect Query Ontology Representation
22,"What was the material used in the Aries, from the Zodiac Series?",null,Incorrect partial DRS
23,What was the material used in the Arranging the Tulips?,null,Incorrect Stanza Parsing
24,"What was the material used in the At the Battery, New York?",null,Incorrect partial DRS
25,What was the material used in the Atheneum Clapboard?,true,Ok
26,What was the material used in the Autumn Still Life?,false,Incorrect Query Ontology Representation
27,What was the material used in the Autumn Vase?,true,Ok
28,What was the material used in the Aymara Boy?,true,Ok
29,What was the material used in the Aymara Girl?,true,Ok
30,What was the material used in the BLACKBALLED?,false,Incorrect Query Ontology Representation
31,"What was the material used in the Ball-play Dance, Choctaw?",null,Incorrect Stanza Parsing
32,What was the material used in the Banjo Chair?,true,Ok
33,What was the material used in the Bartholomeo Bongo?,true,Ok
34,What was the material used in the Beale Street Blues?,null,Incorrect Stanza Parsing
35,What was the material used in the Bearded Kneeling Male Nude?,null,Incorrect Stanza Parsing
36,What was the material used in the Bee Mine?,false,Incorrect Query Ontology Representation
37,What was the material used in the Before Adam and Eve?,null,Incorrect Stanza Parsing
38,What was the material used in the Belt with Jade Carving?,null,Incorrect partial DRS
39,What was the material used in the Between Poses?,null,Incorrect Stanza Parsing
40,What was the material used in the Beulah Appleton?,true,Ok
41,What was the material used in the Black and Grey Toaster?,null,Incorrect Stanza Parsing
42,What was the material used in the Blackburn?,true,Ok
43,What was the material used in the Blooming Vessel?,true,Ok
44,What was the material used in the Blue L Jungle?,null,Incorrect Stanza Parsing
45,What was the material used in the Blue-winged Warbler?,null,Incorrect Stanza Parsing
46,What was the material used in the Boar Hunt?,true,Ok
47,What was the material used in the Boatright Ranch?,true,Ok
48,What was the material used in the Bookkeeper?,false,Incorrect Query Ontology Representation
49,What was the material used in the Borghese Gardens?,true,Ok
50,What was the material used in the Braceros?,true,Ok
51,What was the material used in the Brick Kiln?,true,Ok
52,What was the material used in the Brown Moons?,true,Ok
53,What was the material used in the Bruce's House?,null,Incorrect partial DRS
54,What was the material used in the Bull?,true,Ok
55,What was the material used in the Burlesque Show?,true,Ok
56,What was the material used in the Byrdcliffe Oak Chiffonier?,null,Incorrect Stanza Parsing
57,What was the material used in the California Farm?,true,Ok
58,What was the material used in the Candle in a Vortex of Water?,null,Incorrect partial DRS
59,What was the material used in the Captain Noah Rich?,true,Ok
60,"What was the material used in the Carillon Tower, Chicago Fair?",null,Incorrect partial DRS
61,What was the material used in the Carpet Pink (Silene acaulis)?,true,Ok
62,What was the material used in the Cascade of Souls to Earth?,null,Incorrect partial DRS
63,What was the material used in the Cast of Characters?,null,Incorrect partial DRS
64,"What was the material used in the Castle Oberlahnstein, Rhine?",true,Ok
65,"What was the material used in the Castle Rock, Marblehead?",true,Ok
66,What was the material used in the Castle of Corfu?,null,Incorrect partial DRS
67,What was the material used in the Caught in the Act?,null,Incorrect partial DRS
68,What was the material used in the Celadon Catfish Dish with Lid?,null,Incorrect Stanza Parsing
69,What was the material used in the Cement Mixer?,false,Incorrect Query Ontology Representation
70,What was the material used in the Cherry Blossoms?,true,Ok
71,What was the material used in the Chief Black-Coyote?,null,Incorrect Stanza Parsing
72,What was the material used in the Child on Sofa?,null,Incorrect partial DRS
73,What was the material used in the Christ at Emmaus?,null,Incorrect partial DRS
74,What was the material used in the Christmas Greens?,true,Ok
75,What was the material used in the Circus Performer?,true,Ok
76,What was the material used in the Cleavage?,true,Ok
77,What was the material used in the Cliffside Church?,true,Ok
78,"What was the material used in the Coast at Monterey, California?",null,Incorrect partial DRS
79,What was the material used in the Cockatoo: Keepsake Parakeet?,null,Incorrect partial DRS
80,"What was the material used in the Cockfight, Santo Domingo?",null,Incorrect Stanza Parsing
81,What was the material used in the Collecting with Rudi?,null,Incorrect partial DRS
82,What was the material used in the Colonel Sanders?,true,Ok
83,What was the material used in the Come to the Moon?,null,Incorrect partial DRS
84,What was the material used in the Concetta Scaravaglione?,true,Ok
85,What was the material used in the Construction in White?,null,Incorrect partial DRS
86,What was the material used in the Coon Alley?,true,Ok
87,What was the material used in the Corner of House--Malta?,null,Incorrect Stanza Parsing
88,What was the material used in the Cosmic Colonies?,false,Incorrect Query Ontology Representation
89,What was the material used in the Country Pool?,true,Ok
90,"What was the material used in the Cour du Dragon, Paris?",null,Incorrect Stanza Parsing
91,What was the material used in the Cowboy Smoking?,false,Incorrect Query Ontology Representation
92,What was the material used in the Crane Chair?,true,Ok
93,What was the material used in the Cronus?,true,Ok
94,"What was the material used in the Cross Reference, storyboards?",true,Ok
95,What was the material used in the Crystal City?,true,Ok
96,What was the material used in the Cubist Still Life?,false,Incorrect Query Ontology Representation
97,"What was the material used in the DC Waterfront, Maine Avenue?",null,Incorrect partial DRS
98,"What was the material used in the Dalles Dam, Evening?",true,Ok
99,What was the material used in the Dark Still Life?,true,Ok
100,"What was the material used in the Deadwood, South Dakota?",null,Incorrect partial DRS
101,What was the material used in the Death of Clytaemnestra?,null,Incorrect partial DRS
102,What was the material used in the December Trees?,false,Incorrect Query Ontology Representation
103,What was the material used in the Decision: CHANNELS OF A DREAM?,null,Incorrect Stanza Parsing
104,What was the material used in the Defiance?,true,Ok
105,What was the material used in the Dejaneon and Nassus?,null,Incorrect partial DRS
106,What was the material used in the Dematerialization?,false,Incorrect Query Ontology Representation
107,What was the material used in the Design for Carving?,null,Incorrect partial DRS
108,What was the material used in the Die vier Jahreszeiten?,true,Ok
109,What was the material used in the Dockyard?,true,Ok
110,What was the material used in the Dome?,true,Ok
111,"What was the material used in the Door, Arles, France?",null,Incorrect partial DRS
112,What was the material used in the Dox Trash?,false,Incorrect Query Ontology Representation
113,What was the material used in the Drawing Houses?,false,Incorrect Query Ontology Representation
114,What was the material used in the Dresser Drawer?,true,Ok
115,What was the material used in the Dye drop?,false,Incorrect Query Ontology Representation
116,What was the material used in the El Fireboy y El Mingo?,null,Incorrect Stanza Parsing
117,What was the material used in the Elihu Root?,true,Ok
118,What was the material used in the Elizabeth Robinson Manship?,true,Ok
119,What was the material used in the Elizabeth Tuckerman Salisbury?,true,Ok
120,What was the material used in the Elsie Clough Street?,true,Ok
121,What was the material used in the Emperor of Norfolk?,null,Incorrect partial DRS
122,What was the material used in the Encompassed in Purple?,null,Incorrect partial DRS
123,What was the material used in the Entre La Puta y la Muerte?,true,Ok
124,What was the material used in the Erratic and Snow?,null,Incorrect partial DRS
125,What was the material used in the Estes Park?,true,Ok
126,What was the material used in the Esther?,true,Ok
127,What was the material used in the Eureka?,true,Ok
128,What was the material used in the Every Knee Must Bend?,null,Incorrect Stanza Parsing
129,"What was the material used in the Experience Meeting, Massydony?",true,Ok
130,What was the material used in the Extension Ladder?,true,Ok
131,What was the material used in the Faced Faces?,false,Incorrect Query Ontology Representation
132,What was the material used in the Faith?,true,Ok
133,What was the material used in the Family Picnic?,false,Incorrect Query Ontology Representation
134,What was the material used in the Family and Friends?,null,Incorrect partial DRS
135,What was the material used in the Farm Couple at Work?,null,Incorrect partial DRS
136,What was the material used in the Feast Day: San Juan Pueblo?,null,Incorrect partial DRS
137,What was the material used in the Fence Fabricating Machine?,null,Incorrect Stanza Parsing
138,"What was the material used in the Fenced Yard, Wellsville, Ohio?",null,Incorrect partial DRS
139,What was the material used in the Fiat Vita?,true,Ok
140,What was the material used in the Field of Wheat Shock?,null,Incorrect Stanza Parsing
141,What was the material used in the Firelight?,true,Ok
142,What was the material used in the First Gold Box?,false,Incorrect Query Ontology Representation
143,"What was the material used in the Fjord Sketch, Norway?",true,Ok
144,What was the material used in the Floating Rim Bowl?,true,Ok
145,What was the material used in the Flood Victims?,false,Incorrect Query Ontology Representation
146,What was the material used in the Fly Fishing Medal?,null,Incorrect Stanza Parsing
147,"What was the material used in the Foggy Morning, Brittany?",true,Ok
148,"What was the material used in the Foke-luste-hajo, a Seminole?",null,Incorrect Stanza Parsing
149,What was the material used in the Follow Me?,false,Incorrect Query Ontology Representation
150,What was the material used in the Footbridge?,true,Ok
151,What was the material used in the Footprint?,false,Incorrect Query Ontology Representation
152,What was the material used in the For the Children?,null,Incorrect partial DRS
153,What was the material used in the Fox and Goose?,null,Incorrect partial DRS
154,What was the material used in the Freda?,true,Ok
155,"What was the material used in the Fremont Street, Las Vegas?",true,Ok
156,What was the material used in the French Money?,false,Incorrect Query Ontology Representation
157,"What was the material used in the Friendly Corner, Albi?",true,Ok
158,What was the material used in the Frisky Day?,true,Ok
159,What was the material used in the From a Window?,null,Incorrect Stanza Parsing
160,What was the material used in the Fruit in a Bowl?,null,Incorrect partial DRS
161,"What was the material used in the Fuli, China?",true,Ok
162,What was the material used in the Furnished Room?,false,Incorrect Query Ontology Representation
163,What was the material used in the Gen. John Gibbon?,true,Ok
164,What was the material used in the Gentleman in Masonic Collar?,null,Incorrect partial DRS
165,What was the material used in the George Cochran Lambdin?,true,Ok
166,What was the material used in the George Partridge Richardson?,true,Ok
167,What was the material used in the German Lady?,false,Incorrect Query Ontology Representation
168,What was the material used in the Gertrude Fairfield?,true,Ok
169,What was the material used in the Gesture?,false,Incorrect Query Ontology Representation
170,What was the material used in the Gilia linanthus parviflorus?,null,Incorrect Stanza Parsing
171,What was the material used in the Girders and Lights?,null,Incorrect partial DRS
172,What was the material used in the Girl with Long Hair?,null,Incorrect partial DRS
173,What was the material used in the Girl with Tambourine?,null,Incorrect partial DRS
174,What was the material used in the Girls in Conversation?,null,Incorrect partial DRS
175,"What was the material used in the Glove and Shoe, New York?",null,Incorrect partial DRS
176,What was the material used in the Going to School?,null,Incorrect partial DRS
177,What was the material used in the Good Friday Morning?,true,Ok
178,"What was the material used in the Gram in Black, New Hampshire?",null,Incorrect partial DRS
179,What was the material used in the Greetings?,true,Ok
180,What was the material used in the Grey Night Phenomenon?,null,Incorrect Stanza Parsing
181,What was the material used in the Grey?,true,Ok
182,What was the material used in the Grizzly Madonna?,true,Ok
183,What was the material used in the Guild Cup?,true,Ok
184,What was the material used in the Gunpowder Box?,false,Incorrect Query Ontology Representation
185,"What was the material used in the Harbor Scene, Norway?",true,Ok
186,What was the material used in the Harlem Nightclub Dancers?,null,Incorrect Stanza Parsing
187,What was the material used in the Harold and His Mother?,null,Incorrect Stanza Parsing
188,What was the material used in the Head of a Woman in Jerusalem?,null,Incorrect partial DRS
189,"What was the material used in the Heat Exhaustion, Ramsey Unit?",null,Incorrect partial DRS
190,What was the material used in the Hi-Boy Donut Shop?,null,Incorrect Stanza Parsing
191,"What was the material used in the High Cliff, Coast of Maine?",null,Incorrect Stanza Parsing
192,"What was the material used in the Hitchhiker, Iowa?",true,Ok
193,What was the material used in the Home Front?,true,Ok
194,What was the material used in the Hopi Weaver?,true,Ok
195,What was the material used in the Horse Study and Rabbits?,null,Incorrect partial DRS
196,What was the material used in the House in Nantes?,null,Incorrect partial DRS
197,"What was the material used in the ISOLATION, Mingering Mike?",null,Incorrect partial DRS
